name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
A.J. Brown,WR,PHI,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,145,1496,11,2,2,1754,548,59,0,4.86758804321289,6.94891810417175,211.6,299.6,1496,17,0,0,88,17.62,88,0,0,17,88,17,0,0,0,0,0.125,11,0.125,33.87,6-0,226
A.J. Brown,WR,TEN,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,2,0,52,84,1051,8,1,0,1107,465,39,0,3.17955832928419,4.66160407662392,165.1,217.1,1111,16,0,3.75,65.69,13.57,69.44,0,20,20.21,55,20.2,0,0,0,0.333,0.154,9,0.164,33.87,6-0,226
A.J. Brown,WR,TEN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,106,1075,11,2,1,1150,432,55,0,3.81182350218296,4.96965912729502,177.5,247.5,1075,14,0,0,76.79,17.68,76.79,0,0,15.36,70,15.36,0,0,0,0,0.157,11,0.157,33.87,6-0,226
A.J. Brown,WR,TEN,2021,0,2,0,0,0,0,0,0,0,42,0,0,0,2,10,0,0,0,1,0,63,105,869,5,0,0,1218,235,45,0,3.59901901334524,5.79885850846767,117.9,180.9,879,13,0,0.77,66.85,13.92,67.62,0,5,13.79,67,13.12,0,0,0,0,0.079,5,0.075,33.87,6-0,226
A.J. Derby,TE,DEN,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,160,0,1,1,135,50,7,0,0.523391818627715,0.367298320867121,14,30,160,6,0,0,26.67,5,26.67,0,0,10,16,10,0,0,0,0,0,0,0,33.87,0,0
A.J. Derby,TE,DEN,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,224,2,1,1,268,74,10,0,0.929390080273151,0.993831803323701,32.4,51.4,224,9,0,0,24.89,5.71,24.89,0,0,11.79,19,11.79,0,0,0,0,0.105,2,0.105,33.87,0,0
A.J. Derby,TE,MIA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,20,0,0,0,94,18,1,0,0.228158384561539,0.271548822522163,2,4,20,2,0,0,10,2,10,0,0,10,2,10,0,0,0,0,0,0,0,33.87,0,0
A.J. Derby,TE,MIA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,48,1,0,0,44,9,3,0,0.184178747236729,0.252277843654156,10.8,13.8,48,3,0,0,16,4.6,16,0,0,16,3,16,0,0,0,0,0.333,1,0.333,33.87,0,0
A.J. Dillon,RB,GB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,46,242,2,0,0,11,0,2,2,21,0,0,0,5,16,1,0,0.0679824575781822,0.0283104684203863,38.3,40.3,263,9,0,26.89,2.33,4.48,29.22,0,5.26,10.5,48,5.48,0,0,0,0.043,0,2,0.042,33.87,0,0
A.J. Dillon,RB,GB,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,187,803,5,1,1,50,0,34,37,313,2,1,0,14,310,15,0,1.07366086915135,0.0609398079104722,151.6,185.6,1116,17,0,47.24,18.41,10.92,65.65,0,4.29,9.21,221,5.05,0,0,0,0.027,0.059,7,0.032,33.87,0,0
A.J. Dillon,RB,GB,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,186,770,7,0,0,47,0,28,43,206,0,1,0,23,197,9,0,1.33997367508709,0.0874012706335634,139.6,167.6,976,17,0,45.29,12.12,9.86,57.41,0,4.14,7.36,214,4.56,0,0,0,0.038,0,7,0.033,33.87,0,0
A.J. Feeley,QB,LA,2011,53,97,548,1,2,10,72,3,2,617,369,27,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,18.32,552,4,137,1,0,4.58,138,5.65,1.33,0,100,5.52,0.546,0.021,0.01,0,0,1,0.01,68.75,0,0
A.J. Feeley,QB,MIA,2004,191,356,1893,11,15,23,136,7,4,0,0,101,2,14,13,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,91.02,91.02,1906,11,172.09,1.18,0,8.27,173.27,5.32,0.93,0,370,5.15,0.537,0.042,0.031,0.071,0,12,0.032,73.62,0,0
